Symbol,Entry_Action,Exit_Action,Entry_Price,Exit_Price,Quantity,PnL,Return_Pct,Exit_Reason,Entry_Time,Exit_Time
CHALET,SELL,BUY,946.3,951.0314999999998,1056,-4996.463999999862,0.49999999999998623,Stop Loss,2025-08-01 11:20:00,2025-08-01 11:30:00
CHALET,SELL,BUY,936.25,940.9312499999999,1068,-4999.574999999854,0.49999999999998546,Stop Loss,2025-08-01 11:40:00,2025-08-01 12:10:00
CHALET,SELL,BUY,933.0,937.6649999999998,1071,-4996.214999999839,0.4999999999999839,Stop Loss,2025-08-01 12:20:00,2025-08-01 12:30:00
CHALET,SELL,BUY,933.0,937.6649999999998,1071,-4996.214999999839,0.4999999999999839,Stop Loss,2025-08-01 12:40:00,2025-08-01 12:50:00
CHALET,SELL,BUY,937.0,941.685,1067,-4998.894999999942,0.4999999999999942,Stop Loss,2025-08-01 13:00:00,2025-08-01 13:10:00
CHAMBLFERT,SELL,BUY,522.1,524.7104999999999,1867,-4873.803499999791,0.4999999999999786,Stop Loss,2025-08-01 11:20:00,2025-08-01 12:00:00
EICHERMOT,SELL,BUY,5518.5,5546.0925,175,-4828.687499999955,0.4999999999999954,Stop Loss,2025-08-01 11:20:00,2025-08-01 12:20:00
EICHERMOT,BUY,SELL,5613.5,5585.4325,172,-4827.610000000019,-0.5000000000000019,Stop Loss,2025-08-01 13:10:00,2025-08-01 13:30:00
EICHERMOT,BUY,SELL,5600.5,5572.4975,173,-4844.432499999931,-0.4999999999999928,Stop Loss,2025-08-01 13:40:00,2025-08-01 14:00:00
M&M,BUY,SELL,3178.7,3162.8064999999997,300,-4768.050000000039,-0.5000000000000042,Stop Loss,2025-08-01 13:40:00,2025-08-01 15:00:00
NETWEB,BUY,SELL,2294.7,2283.2264999999998,414,-4750.029000000024,-0.5000000000000027,Stop Loss,2025-08-01 11:20:00,2025-08-01 11:30:00
NETWEB,BUY,SELL,2259.8,2248.501,420,-4745.579999999991,-0.49999999999999895,Stop Loss,2025-08-01 11:40:00,2025-08-01 11:50:00
SUNPHARMA,SELL,BUY,1620.0,1628.1,581,-4706.099999999948,0.4999999999999944,Stop Loss,2025-08-01 13:20:00,2025-08-01 15:00:00
SUZLON,BUY,SELL,65.3,66.0608,14344,10912.915200000047,1.165084226646253,Stop Loss,2025-08-01 11:30:00,2025-08-01 14:10:00
SWIGGY,BUY,SELL,395.25,393.27375,2397,-4737.071249999984,-0.4999999999999983,Stop Loss,2025-08-01 11:20:00,2025-08-01 14:00:00
